id	name	genus	phylum	kingdom	tax2	num_M	num_bchlD	num_bchlD_fs
245	Moorella thermoacetica ATCC 39073	Moorella	Firmicutes	Bacteria	Clostridia	0	0	0
246	Anaplasma phagocytophilum str. HZ	Anaplasma	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
247	Ehrlichia chaffeensis str. Arkansas	Ehrlichia	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
248	Neorickettsia sennetsu str. Miyayama	Neorickettsia	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
249	Clostridium perfringens ATCC 13124	Clostridium	Firmicutes	Bacteria	Clostridia	0	0	0
250	Novosphingobium aromaticivorans DSM 12444	Novosphingobium	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
251	Frankia casuarinae	Frankia	Actinobacteria	Bacteria	Frankiales	1	1	0
252	Rhodopseudomonas palustris HaA2	Rhodopseudomonas	Proteobacteria	Bacteria	Alphaproteobacteria	2	1	0
253	Syntrophus aciditrophicus SB	Syntrophus	Proteobacteria	Bacteria	Deltaproteobacteria	0	0	0
254	Staphylococcus aureus subsp. aureus NCTC 8325	Staphylococcus	Firmicutes	Bacteria	Bacilli	0	0	0
255	Methanospirillum hungatei JF-1	Methanospirillum	Euryarchaeota	Archaea	Methanomicrobia	2	2	0
256	Rhodoferax ferrireducens T118	Rhodoferax	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
257	Paraburkholderia xenovorans LB400	Paraburkholderia	Proteobacteria	Bacteria	Betaproteobacteria	3	1	1
258	Saccharophagus degradans 2-40	Saccharophagus	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
259	Methanococcoides burtonii DSM 6242	Methanococcoides	Euryarchaeota	Archaea	Methanomicrobia	0	0	0
260	Rhodopseudomonas palustris BisB18	Rhodopseudomonas	Proteobacteria	Bacteria	Alphaproteobacteria	2	1	0
261	Shewanella denitrificans OS217	Shewanella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
262	Nitrobacter hamburgensis X14	Nitrobacter	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
263	Leptospira borgpetersenii serovar Hardjo-bovis str. L550	Leptospira	Spirochaetes	Bacteria	Leptospirales	0	0	0
264	Sphingopyxis alaskensis RB2256	Sphingopyxis	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
265	Arcobacter butzleri RM4018	Arcobacter	Proteobacteria	Bacteria	Epsilonproteobacteria	0	0	0
267	Clostridium novyi NT	Clostridium	Firmicutes	Bacteria	Clostridia	0	0	0
268	Cytophaga hutchinsonii ATCC 33406	Cytophaga	Bacteroidetes	Bacteria	Cytophagia	0	0	0
269	Rubrobacter xylanophilus DSM 9941	Rubrobacter	Actinobacteria	Bacteria	Rubrobacteria	1	1	0
270	Streptococcus sanguinis SK36	Streptococcus	Firmicutes	Bacteria	Bacilli	0	0	0
271	Pseudoalteromonas atlantica T6c	Pseudoalteromonas	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
272	Trichodesmium erythraeum IMS101	Trichodesmium	Cyanobacteria	Bacteria	Oscillatoriophycideae	1	1	0
273	Granulibacter bethesdensis CGDNIH1	Granulibacter	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
274	Rickettsia canadensis str. McKiel	Rickettsia	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
275	Oenococcus oeni PSU-1	Oenococcus	Firmicutes	Bacteria	Bacilli	0	0	0
276	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Firmicutes	Bacteria	Bacilli	0	0	0
277	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Leuconostoc	Firmicutes	Bacteria	Bacilli	0	0	0
278	Lactobacillus brevis ATCC 367	Lactobacillus	Firmicutes	Bacteria	Bacilli	0	0	0
279	Pediococcus pentosaceus ATCC 25745	Pediococcus	Firmicutes	Bacteria	Bacilli	0	0	0
280	Lactobacillus paracasei ATCC 334	Lactobacillus	Firmicutes	Bacteria	Bacilli	0	0	0
281	Rhodococcus jostii RHA1	Rhodococcus	Actinobacteria	Bacteria	Corynebacteriales	2	1	0
282	Shewanella frigidimarina NCIMB 400	Shewanella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
283	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311	Syntrophomonas	Firmicutes	Bacteria	Clostridia	0	0	0
284	Maricaulis maris MCS10	Maricaulis	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
285	Nitrosomonas eutropha C91	Nitrosomonas	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
286	Alkalilimnicola ehrlichii MLHE-1	Alkalilimnicola	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
287	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonas	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
288	Rhodopseudomonas palustris BisA53	Rhodopseudomonas	Proteobacteria	Bacteria	Alphaproteobacteria	2	1	0
289	Magnetococcus marinus MC-1	Magnetococcus	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
290	Shewanella piezotolerans WP3	Shewanella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
291	Paenarthrobacter aurescens TC1	Paenarthrobacter	Actinobacteria	Bacteria	Micrococcales	0	0	0
292	Syntrophobacter fumaroxidans MPOB	Syntrophobacter	Proteobacteria	Bacteria	Deltaproteobacteria	1	1	0
293	Mycobacterium smegmatis str. MC2 155	Mycobacterium	Actinobacteria	Bacteria	Corynebacteriales	1	1	0
294	Acidothermus cellulolyticus 11B	Acidothermus	Actinobacteria	Bacteria	Acidothermales	0	0	0
295	Pelobacter propionicus DSM 2379	Pelobacter	Proteobacteria	Bacteria	Deltaproteobacteria	2	2	0
296	Chlorobium phaeobacteroides DSM 266	Chlorobium	Chlorobi	Bacteria	Chlorobia	1	1	0
297	Hyperthermus butylicus DSM 5456	Hyperthermus	Crenarchaeota	Archaea	Thermoprotei	0	0	0
298	Shewanella amazonensis SB2B	Shewanella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
299	Psychromonas ingrahamii 37	Psychromonas	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
300	Mycobacterium vanbaalenii PYR-1	Mycobacterium	Actinobacteria	Bacteria	Corynebacteriales	1	1	0
301	Dichelobacter nodosus VCS1703A	Dichelobacter	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
302	Bartonella bacilliformis KC583	Bartonella	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
303	Polaromonas naphthalenivorans CJ2	Polaromonas	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
304	Verminephrobacter eiseniae EF01-2	Verminephrobacter	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
305	Halorhodospira halophila SL1	Halorhodospira	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0
306	Prochlorococcus marinus str. AS9601	Prochlorococcus	Cyanobacteria	Bacteria	Synechococcales	1	1	0
307	Prochlorococcus marinus str. MIT 9515	Prochlorococcus	Cyanobacteria	Bacteria	Synechococcales	1	1	0
308	Methylibium petroleiphilum PM1	Methylibium	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
309	Geobacillus thermodenitrificans NG80-2	Geobacillus	Firmicutes	Bacteria	Bacilli	0	0	0
310	Methanocorpusculum labreanum Z	Methanocorpusculum	Euryarchaeota	Archaea	Methanomicrobia	0	0	0
311	Methanoculleus marisnigri JR1	Methanoculleus	Euryarchaeota	Archaea	Methanomicrobia	0	0	0
312	Ruminiclostridium thermocellum ATCC 27405	Ruminiclostridium	Firmicutes	Bacteria	Clostridia	0	0	0
313	Shewanella loihica PV-4	Shewanella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
314	Chlorobium phaeovibrioides DSM 265	Chlorobium	Chlorobi	Bacteria	Chlorobia	1	1	0
315	Desulfotomaculum reducens MI-1	Desulfotomaculum	Firmicutes	Bacteria	Clostridia	0	0	0
316	Rhodospirillum centenum SW	Rhodospirillum	Proteobacteria	Bacteria	Alphaproteobacteria	2	1	0
317	Agrobacterium vitis S4	Agrobacterium	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
318	Polynucleobacter asymbioticus QLW-P1DMWA-1	Polynucleobacter	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
319	Rhodobacter sphaeroides ATCC 17025	Rhodobacter	Proteobacteria	Bacteria	Alphaproteobacteria	2	1	0
320	Salinispora tropica CNB-440	Salinispora	Actinobacteria	Bacteria	Micromonosporales	1	1	0
321	Clostridium kluyveri DSM 555	Clostridium	Firmicutes	Bacteria	Clostridia	0	0	0
322	Methanobrevibacter smithii ATCC 35061	Methanobrevibacter	Euryarchaeota	Archaea	Methanobacteria	0	0	0
323	Caldicellulosiruptor saccharolyticus DSM 8903	Caldicellulosiruptor	Firmicutes	Bacteria	Clostridia	0	0	0
324	Pseudomonas mendocina ymp	Pseudomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	1
325	Metallosphaera sedula DSM 5348	Metallosphaera	Crenarchaeota	Archaea	Thermoprotei	1	1	0
326	Flavobacterium johnsoniae UW101	Flavobacterium	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
327	Geobacter uraniireducens Rf4	Geobacter	Proteobacteria	Bacteria	Deltaproteobacteria	0	0	0
328	Sphingomonas wittichii RW1	Sphingomonas	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
